Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
ALPES MARITIMES,06650 LE ROURET,3,4302,69.74
ALPES MARITIMES,06530 LE TIGNET,2,3219,62.13
ALPES MARITIMES,06670 LEVENS,10,5420,184.5
ALPES MARITIMES,06210 MANDELIEU LA NAPOULE,24,21443,111.92
ALPES MARITIMES,06500 MENTON,56,30723,182.27
ALPES MARITIMES,06370 MOUANS SARTOUX,25,11040,226.45
ALPES MARITIMES,06250 MOUGINS,41,19874,206.3
ALPES MARITIMES,06200 NICE,635,356603,178.07
ALPES MARITIMES,06650 OPIO,1,2487,40.21
ALPES MARITIMES,06580 PEGOMAS,14,8247,169.76
ALPES MARITIMES,06440 PEILLE,1,2228,44.88
ALPES MARITIMES,06530 PEYMEINADE,6,8691,69.04
ALPES MARITIMES,06260 PUGET THENIERS,14,1880,744.68
ALPES MARITIMES,06830 REVEST LES ROCHES,1,236,423.73
ALPES MARITIMES,06450 ROQUEBILLIERE,11,1874,586.98
ALPES MARITIMES,06190 ROQUEBRUNE CAP MARTIN,10,12574,79.53
